# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 70.54905 88.001185 0.0
# Box Maximum: 141.0981 176.00237 65.28425
# <6607>
# ID	Position (x y z)	Area	type
312	71.44942 115.12983 59.06271	lh.medialorbitofrontal	ex
313	71.2953 116.85503 59.74842	lh.medialorbitofrontal	ex
314	71.17809 116.02909 56.43758	lh.medialorbitofrontal	ex
315	70.83938 117.6529 56.70753	lh.medialorbitofrontal	ex
316	73.08591 139.51866 58.16185	rh.rostralanteriorcingulate	ex
317	73.97096 141.27202 57.97553	rh.rostralanteriorcingulate	ex
318	70.89848 118.15778 58.54326	lh.medialorbitofrontal	ex
319	71.02447 142.78737 24.41029	rh.medialorbitofrontal	ex
320	70.74415 147.50596 26.55638	rh.medialorbitofrontal	ex
321	70.78633 146.0842 25.91684	rh.medialorbitofrontal	ex
322	71.52635 145.45046 25.14101	rh.medialorbitofrontal	ex
323	71.65589 143.81498 24.16303	rh.medialorbitofrontal	ex
324	80.19098 131.78205 26.46001	rh.lateralorbitofrontal	ex
325	75.54983 139.36897 23.79035	rh.medialorbitofrontal	ex
326	110.42578 145.2757 34.03812	rh.parsorbitalis	ex
327	105.65339 144.21988 34.65672	rh.parsorbitalis	ex
328	91.48075 121.59024 15.63958	rh.temporalpole	ex
329	92.11182 122.79127 14.54328	rh.temporalpole	ex
330	93.47306 125.08845 13.99441	rh.temporalpole	ex
331	100.50982 130.55576 17.90958	rh.temporalpole	ex
332	98.3806 129.42995 15.0467	rh.temporalpole	ex
333	97.64865 128.73381 13.58381	rh.temporalpole	ex
334	100.84317 130.61818 16.1526	rh.temporalpole	ex
335	100.11211 130.24708 14.93601	rh.temporalpole	ex
336	102.95877 130.14747 14.10361	rh.temporalpole	ex
337	81.35417 135.13351 25.34688	rh.lateralorbitofrontal	ex
338	82.35122 137.9976 24.74153	rh.lateralorbitofrontal	ex
339	76.43062 141.09577 23.56897	rh.medialorbitofrontal	ex
340	76.03721 142.56881 23.08444	rh.medialorbitofrontal	ex
341	75.99545 144.89224 23.37279	rh.medialorbitofrontal	ex
342	75.20056 143.7031 22.538	rh.medialorbitofrontal	ex
343	71.41527 141.278 24.66518	rh.medialorbitofrontal	ex
344	102.0282 130.86145 18.45733	rh.temporalpole	ex
345	78.538 153.65884 26.50852	rh.lateralorbitofrontal	ex
346	73.16303 144.36834 23.43099	rh.medialorbitofrontal	ex
347	74.68863 151.7791 25.08198	rh.medialorbitofrontal	ex
348	92.89096 141.26598 32.40759	rh.lateralorbitofrontal	ex
349	96.90612 144.09132 34.66582	rh.lateralorbitofrontal	ex
350	73.66783 150.67964 24.66388	rh.medialorbitofrontal	ex
351	70.64958 144.64973 50.3268	rh.medialorbitofrontal	ex
352	70.70588 149.50053 40.21405	lh.medialorbitofrontal	ex
353	80.51809 125.35801 27.34013	rh.lateralorbitofrontal	ex
354	71.6792 144.41687 51.86971	rh.medialorbitofrontal	ex
355	71.88876 154.21381 49.96607	rh.medialorbitofrontal	ex
356	72.44075 155.89406 51.67523	rh.medialorbitofrontal	ex
357	74.87234 154.21494 47.46404	rh.medialorbitofrontal	ex
358	76.01198 161.56265 50.27882	rh.medialorbitofrontal	ex
359	77.53943 141.43033 60.66829	rh.rostralanteriorcingulate	ex
360	74.76185 141.53382 59.50439	rh.rostralanteriorcingulate	ex
361	71.49506 144.3854 58.76483	rh.rostralanteriorcingulate	ex
362	72.45402 147.10752 54.75869	rh.rostralanteriorcingulate	ex
363	87.88104 166.20383 46.74599	rh.rostralmiddlefrontal	ex
364	73.98953 149.48491 55.42831	rh.superiorfrontal	ex
365	70.93039 160.23918 52.3915	rh.superiorfrontal	ex
366	116.12492 137.64364 35.80911	rh.parsorbitalis	ex
367	119.96915 136.4859 40.12915	rh.parstriangularis	ex
368	122.84236 123.61358 35.5406	rh.superiortemporal	ex
369	113.77894 128.52168 24.95707	rh.superiortemporal	ex
370	112.48199 129.59038 24.52866	rh.superiortemporal	ex
371	112.93752 140.98219 32.7258	rh.parsorbitalis	ex
372	120.14072 124.94705 34.51766	rh.superiortemporal	ex
373	111.28699 129.96575 23.16379	rh.superiortemporal	ex
374	118.54169 124.10539 23.69277	rh.superiortemporal	ex
375	112.79968 128.25623 20.81019	rh.superiortemporal	ex
376	114.2368 138.37573 33.65937	rh.parsorbitalis	ex
377	118.67152 123.50462 22.14894	rh.superiortemporal	ex
378	115.25442 128.33881 28.16747	rh.superiortemporal	ex
379	111.27747 130.49315 25.78363	rh.superiortemporal	ex
380	110.217 129.80512 18.28568	rh.superiortemporal	ex
381	70.7834 150.96682 41.26219	lh.medialorbitofrontal	ex
382	71.08041 141.03274 47.82513	rh.medialorbitofrontal	ex
383	73.0475 141.12056 50.49448	rh.medialorbitofrontal	ex
384	71.55334 141.99518 49.15534	rh.medialorbitofrontal	ex
385	115.41044 138.81544 34.66764	rh.parsorbitalis	ex
386	117.08781 145.50353 35.34669	rh.parsorbitalis	ex
387	121.05363 136.24531 41.37529	rh.parstriangularis	ex
388	125.21404 122.24794 36.17111	rh.superiortemporal	ex
389	117.78071 127.20697 33.49104	rh.superiortemporal	ex
390	114.18197 129.01167 27.16834	rh.superiortemporal	ex
391	111.48156 129.65343 21.60001	rh.superiortemporal	ex
392	71.32725 163.9076 50.20606	rh.medialorbitofrontal	ex
393	76.81835 151.93691 63.76735	rh.superiorfrontal	ex
394	76.51754 151.94901 63.18819	rh.superiorfrontal	ex
395	75.99799 155.37191 47.56421	rh.medialorbitofrontal	ex
396	72.23555 156.42432 40.36466	rh.medialorbitofrontal	ex
397	72.3795 149.61057 39.9913	rh.medialorbitofrontal	ex
398	72.79114 150.49142 39.25059	rh.medialorbitofrontal	ex
399	71.67567 151.50395 40.90457	rh.medialorbitofrontal	ex
