# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 88.001185 0.0
# Box Maximum: 70.54905 176.00237 65.28425
# <6683>
# ID	Position (x y z)	Area	type
312	41.72601 90.53332 16.99101	lh.entorhinal	ex
313	54.2507 95.35086 19.31719	lh.entorhinal	ex
314	42.14372 92.3863 10.83312	lh.fusiform	ex
315	44.60903 90.01213 15.34984	lh.entorhinal	ex
316	50.79935 99.15772 15.62451	lh.entorhinal	ex
317	49.89439 100.60946 13.3356	lh.entorhinal	ex
318	38.51253 89.8462 9.67852	lh.fusiform	ex
319	53.34561 92.67233 39.30663	lh.medialorbitofrontal	ex
320	65.16182 92.04302 34.57706	lh.entorhinal	ex
321	63.92919 92.72962 33.385	lh.entorhinal	ex
322	61.27044 92.49208 32.78549	lh.entorhinal	ex
323	59.71703 91.86625 33.04211	lh.entorhinal	ex
324	55.38272 92.91367 28.90089	lh.entorhinal	ex
325	55.88514 93.67762 27.89454	lh.entorhinal	ex
326	56.25078 92.47056 27.12609	lh.entorhinal	ex
327	56.50279 92.45576 25.75628	lh.entorhinal	ex
328	35.56162 88.90045 22.26171	lh.entorhinal	ex
329	35.63597 90.79298 21.95043	lh.entorhinal	ex
330	56.44919 93.85215 25.32232	lh.entorhinal	ex
331	35.72352 90.50276 21.44563	lh.fusiform	ex
332	40.84971 92.22201 17.024	lh.entorhinal	ex
333	40.00458 88.42248 18.46187	lh.entorhinal	ex
334	40.23371 90.02829 17.8998	lh.entorhinal	ex
335	56.53759 93.41069 37.49772	lh.medialorbitofrontal	ex
336	59.3009 92.53549 34.47052	lh.entorhinal	ex
337	60.21701 93.62369 35.61322	lh.entorhinal	ex
338	57.82027 93.46033 36.73571	lh.medialorbitofrontal	ex
339	65.12819 92.78201 35.95547	lh.medialorbitofrontal	ex
340	55.68981 94.90584 27.44439	lh.entorhinal	ex
341	53.28753 95.20396 28.83051	lh.entorhinal	ex
342	35.98228 91.27036 21.22345	lh.entorhinal	ex
343	35.29288 91.37558 21.93912	lh.entorhinal	ex
344	36.94336 91.80591 19.77714	lh.fusiform	ex
345	55.86852 94.21063 22.54682	lh.entorhinal	ex
