# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 0.0 0.0
# Box Maximum: 70.54905 88.001185 65.28425
# <5802>
# ID	Position (x y z)	Area	type
333	28.12579 84.63006 49.26906	lh.superiortemporal	ex
334	18.85718 84.12814 59.63272	lh.superiortemporal	ex
335	28.72535 87.44537 56.39371	lh.transversetemporal	ex
336	12.30054 71.65819 53.27905	lh.bankssts	ex
337	5.40393 76.10178 51.57988	lh.bankssts	ex
338	8.46695 71.27606 52.65745	lh.bankssts	ex
339	2.67184 71.66618 54.58423	lh.bankssts	ex
340	18.92716 74.2021 51.38475	lh.bankssts	ex
341	15.13077 71.80293 53.82375	lh.bankssts	ex
342	2.93148 77.85221 56.26867	lh.superiortemporal	ex
343	3.90939 72.94834 53.61856	lh.bankssts	ex
344	1.7067 72.55491 55.61118	lh.superiortemporal	ex
345	5.64902 72.66353 52.77907	lh.bankssts	ex
346	3.79129 74.45191 54.17212	lh.bankssts	ex
347	8.87684 76.79493 20.75881	lh.inferiortemporal	ex
348	11.6978 82.57791 58.99344	lh.superiortemporal	ex
349	8.64939 73.15359 52.23373	lh.bankssts	ex
350	6.89493 74.11708 52.34404	lh.bankssts	ex
351	8.34053 68.7349 48.11068	lh.middletemporal	ex
352	17.69142 75.14586 51.2421	lh.middletemporal	ex
353	1.99478 75.8797 42.31114	lh.middletemporal	ex
354	16.55135 75.05729 51.61069	lh.bankssts	ex
355	15.84313 76.57231 50.44434	lh.middletemporal	ex
356	19.48429 76.03123 49.54365	lh.bankssts	ex
357	9.16751 82.17033 16.11976	lh.inferiortemporal	ex
358	16.20563 72.75293 53.31315	lh.bankssts	ex
359	13.99926 73.66226 52.73725	lh.bankssts	ex
360	3.52777 76.22574 55.03511	lh.bankssts	ex
361	2.19434 80.35793 62.47226	lh.superiortemporal	ex
362	11.3361 72.6565 52.62163	lh.bankssts	ex
363	4.22635 75.54462 53.79684	lh.bankssts	ex
364	6.80145 77.78567 49.51911	lh.middletemporal	ex
365	9.74745 73.42095 52.34996	lh.bankssts	ex
366	11.64638 74.13393 52.34724	lh.bankssts	ex
367	19.63302 75.96342 49.60686	lh.bankssts	ex
368	18.20298 76.38274 49.94061	lh.middletemporal	ex
369	2.49365 74.18375 55.30498	lh.bankssts	ex
370	2.75851 75.09732 56.03763	lh.superiortemporal	ex
371	43.31903 66.43274 48.94321	lh.parahippocampal	ex
372	15.41077 73.83291 52.72394	lh.bankssts	ex
373	10.05878 74.89837 52.07562	lh.bankssts	ex
374	6.5914 75.51719 51.83712	lh.bankssts	ex
375	19.67692 71.63457 31.08691	lh.inferiortemporal	ex
376	13.53852 78.58964 44.33718	lh.middletemporal	ex
377	13.45527 76.11657 50.98354	lh.bankssts	ex
378	4.40392 76.07918 52.55099	lh.bankssts	ex
379	13.76459 74.63318 51.89681	lh.middletemporal	ex
380	14.4681 76.88043 50.19344	lh.middletemporal	ex
381	11.64094 76.5517 50.64548	lh.middletemporal	ex
382	18.5944 74.5815 51.54852	lh.bankssts	ex
383	16.194 74.66488 52.09397	lh.middletemporal	ex
384	61.20256 77.03858 49.66828	lh.parahippocampal	ex
385	18.43397 76.02373 50.28176	lh.middletemporal	ex
386	3.12391 77.18425 55.02883	lh.superiortemporal	ex
387	3.60448 77.44682 51.97911	lh.superiortemporal	ex
388	5.51793 77.24348 49.96385	lh.superiortemporal	ex
389	15.83439 75.99224 51.15363	lh.bankssts	ex
390	14.45783 76.39592 50.9106	lh.bankssts	ex
391	18.67685 73.69661 30.01991	lh.inferiortemporal	ex
392	11.33488 77.7341 17.85226	lh.inferiortemporal	ex
393	1.98206 75.8054 29.98652	lh.middletemporal	ex
394	5.16902 75.88316 28.96244	lh.middletemporal	ex
395	3.56395 76.5364 28.77328	lh.middletemporal	ex
396	31.48503 84.04338 55.06626	lh.transversetemporal	ex
397	2.25065 74.53661 31.25755	lh.middletemporal	ex
398	23.54455 80.45302 58.22516	lh.transversetemporal	ex
399	23.13832 67.39722 33.38039	lh.fusiform	ex
400	15.65201 70.31608 23.67132	lh.inferiortemporal	ex
401	12.10333 76.94933 50.60972	lh.superiortemporal	ex
402	3.02305 77.87186 53.2186	lh.superiortemporal	ex
403	7.92368 76.65813 50.72435	lh.bankssts	ex
